Neighborhood,London borough,Post town,Postcode district,lat,lon
Abbey Wood,"Bexley, Greenwich ",LONDON,SE2,51.487621,0.1140504
Acton,"Ealing, Hammersmith and Fulham",LONDON,"W3, W4",51.5081402,-0.2732607
Aldgate,City,LONDON,EC3,51.5142477,-0.0757186
Aldwych,Westminster,LONDON,WC2,51.513103,-0.1149205
Anerley,Bromley,LONDON,SE20,51.4075993,-0.0619394
Angel,Islington,LONDON,"EC1, N1",51.5319458,-0.1061056
Archway,Islington,LONDON,N19,51.5654371,-0.1349977
Arkley,Barnet,"BARNET, LONDON","EN5, NW7",51.6455827,-0.236258
Arnos Grove,Enfield,LONDON,"N11, N14",51.6164024,-0.1332873
Balham,Wandsworth,LONDON,SW12,51.4456449,-0.1503643
Bankside,Southwark,LONDON,SE1,51.5125884,-0.3904739
Barbican,City,LONDON,EC1,51.5201501,-0.0986832
Barnes,Richmond upon Thames,LONDON,SW13,51.4718962,-0.2387441
Barnet Gate,Barnet,"LONDON, BARNET","NW7, EN5",51.6418265,-0.2429855
Barnsbury,Islington,LONDON,N1,51.5389351,-0.114735
Battersea,Wandsworth,LONDON,SW11,51.4707933,-0.172214
Bayswater,Westminster,LONDON,W2,51.5122764,-0.1883854
Beckenham,Bromley,"BECKENHAM, LONDON","BR3, SE20",51.4075738,-0.0258901
Beckton,Newham,"LONDON, BARKING","E6, E16, IG11",51.5402677,0.0793235
Bedford Park,Ealing,LONDON,W4,51.498020100000005,-0.25564718577152973
Belgravia,Westminster,LONDON,SW1,51.4982128,-0.1534998
Bellingham,Lewisham,LONDON,SE6,51.4310809,-0.0245145
Belsize Park,Camden,LONDON,NW3,51.5473926,-0.1683005
Bermondsey,Southwark,LONDON,SE1,51.4970125,-0.063268
Bethnal Green,Tower Hamlets,LONDON,E2,51.5303456,-0.0561633
Bexleyheath (also Bexley New Town),Bexley,"BEXLEYHEATH, LONDON","DA6, DA7, SE2",51.5303456,-0.0561633
Blackfriars,City,LONDON,EC4,51.5115854,-0.1037671
Blackheath,Lewisham,LONDON,SE3,51.4663175,0.0085624
Blackheath Royal Standard,Greenwich,LONDON,"SE3, SE12",51.4777351,0.0204897
Blackwall,Tower Hamlets,LONDON,E14,51.5079378,-0.0071843
Bloomsbury,Camden,LONDON,WC1,51.523126,-0.1260664
Bounds Green,Haringey,LONDON,"N11, N22",51.607376,-0.1249047
Bow,Tower Hamlets,LONDON,E3,51.5283085,-0.0194816
Bowes Park,Haringey,LONDON,N22,51.6071861,-0.1204848
Brent Cross,Barnet,LONDON,"NW2, NW4",51.5767595,-0.2183801
Brent Park,Brent,LONDON,NW10,51.563825800000004,-0.2757596561855699
Brixton,Lambeth,LONDON,"SW2, SW9, SE5",51.4568044,-0.1167959
Brockley,Lewisham,LONDON,SE4,51.4578328,-0.0360868
Bromley (also Bromley-by-Bow),Tower Hamlets,LONDON,E3,51.4028046,0.0148142
Brompton,Kensington and ChelseaHammersmith and Fulham,LONDON,SW3,51.4918222,-0.178326
Brondesbury,Brent,LONDON,NW6,51.5450493,-0.2025961
Brunswick Park,Barnet,LONDON,N11,51.6262191,-0.1481899
"Burroughs, The",Barnet,LONDON,NW4,51.5863721,-0.2303106
Camberwell,Southwark,LONDON,SE5,51.4745706,-0.0925416
Cambridge Heath,Tower Hamlets,LONDON,E2,51.5319544,-0.0574215
Camden Town,Camden,LONDON,NW1,51.5423045,-0.1395604
Canary Wharf,Tower Hamlets,LONDON,E14,51.50562,-0.0257169
Cann Hall,Waltham Forest,LONDON,E11,51.55743685,0.015681770220317227
Canning Town,Newham,LONDON,E16,51.5139887,0.0082987
Canonbury,Islington,LONDON,N1,51.5430358,-0.0954008
Castelnau,Richmond upon Thames,LONDON,SW13,51.4874287,-0.2312276
Catford,Lewisham,LONDON,SE6,51.4453215,-0.0197534
Chalk Farm,Camden,LONDON,NW1,51.5441141,-0.1534811
Charing Cross,Westminster,LONDON,WC2,51.5074975,-0.1236888
Charlton,Greenwich,LONDON,SE7,51.4826053,0.0365359
Chelsea,Kensington and Chelsea,LONDON,SW3,51.4875417,-0.1682205
