Borough,Population
Barnet,392.14
Croydon,385.35
Newham,352.01
Ealing,341.98
Enfield,333.87
Bromley,331.1
Brent,330.8
Wandsworth,326.47
Lambeth,325.92
Tower Hamlets,317.71
Southwark,317.26
Hillingdon,304.82
Redbridge,303.86
Lewisham,303.54
Greenwich,286.19
Hackney,279.67
Waltham Forest,276.7
Hounslow,270.78
Haringey,270.62
Camden,262.23
Havering,257.81
Westminster,255.32
Harrow,250.15
Bexley,247.26
Islington,239.14
Barking and Dagenham,212
Merton,206.19
Sutton,204.53
Richmond upon Thames,196.9
Hammersmith and Fulham,185.43
Kingston upon Thames,175.47
Kensington and Chelsea,156.2
City of London,8.71
