Neighborhood,London borough,Post town,Postcode district,lat,lon
Aldgate,City,LONDON,EC3,51.5142477,-0.0757186
Aldwych,Westminster,LONDON,WC2,51.513103,-0.1149205
Angel,Islington,LONDON,"EC1, N1",51.5319458,-0.1061056
Archway,Islington,LONDON,N19,51.5654371,-0.1349977
Balham,Wandsworth,LONDON,SW12,51.4456449,-0.1503643
Bankside,Southwark,LONDON,SE1,51.508132,-0.095177
Barbican,City,LONDON,EC1,51.5201501,-0.0986832
Barnsbury,Islington,LONDON,N1,51.5389351,-0.114735
Battersea,Wandsworth,LONDON,SW11,51.4707933,-0.172214
Bayswater,Westminster,LONDON,W2,51.5122764,-0.1883854
Belgravia,Westminster,LONDON,SW1,51.4982128,-0.1534998
Belsize Park,Camden,LONDON,NW3,51.5473926,-0.1683005
Bermondsey,Southwark,LONDON,SE1,51.4970125,-0.063268
Blackfriars,City,LONDON,EC4,51.5115854,-0.1037671
Bloomsbury,Camden,LONDON,WC1,51.523126,-0.1260664
Brixton,Lambeth,LONDON,"SW2, SW9, SE5",51.4568044,-0.1167959
Brompton,Kensington and ChelseaHammersmith and Fulham,LONDON,SW3,51.4918222,-0.178326
Camberwell,Southwark,LONDON,SE5,51.4745706,-0.0925416
Camden Town,Camden,LONDON,NW1,51.5423045,-0.1395604
Canonbury,Islington,LONDON,N1,51.5430358,-0.0954008
Chalk Farm,Camden,LONDON,NW1,51.5441141,-0.1534811
Charing Cross,Westminster,LONDON,WC2,51.5074975,-0.1236888
Chelsea,Kensington and Chelsea,LONDON,SW3,51.4875417,-0.1682205
Chinatown,Westminster,LONDON,W1,51.511680299999995,-0.1304959294095688
Clapham,"Lambeth, Wandsworth",LONDON,SW4,51.4622924,-0.1388561
Clerkenwell,Islington,LONDON,EC1,51.5237268,-0.1055555
Covent Garden,Westminster,LONDON,WC2,51.512873600000006,-0.12254367918576929
Crouch End,Haringey,LONDON,N8,51.5787402,-0.1235992
Custom House,Newham,LONDON,E16,51.508789500000006,-0.0826440579649754
Dalston,Hackney,LONDON,E8,51.5434023,-0.0672286
De Beauvoir Town,Islington,LONDON,N1,51.539929,-0.0850011
Denmark Hill,Southwark,LONDON,SE5,51.468043,-0.0896031
Earls Court,Kensington and Chelsea,LONDON,"SW5, SW10",51.4916123,-0.193903
Elephant and Castle,Southwark,LONDON,"SE1, SE11, SE17",51.4948884,-0.1005731
Farringdon,Islington & City,LONDON,EC1,51.5201241,-0.1047928
Finsbury,Islington,LONDON,EC1,51.5265742,-0.1070713
Finsbury Park,"Haringey, Islington",LONDON,N4,51.5648345,-0.1064144
Fitzrovia,Camden,LONDON,W1,51.5187642,-0.1410017
Gospel Oak,Camden,LONDON,"NW5, NW3",51.5554865,-0.151577
Haggerston,Hackney,LONDON,E2,51.5385184,-0.0753811
Hampstead,Camden,LONDON,NW3,51.5542879,-0.1740747
Herne Hill,Lambeth,LONDON,SE24,51.4534691,-0.1022835
Highbury,Islington,LONDON,N5,51.5457996,-0.1027127
Highgate,Camden,LONDON,N6,51.5744322,-0.1526837
Holborn,Camden,LONDON,"WC1, WC2",51.5179341,-0.1195284
Holloway,Islington,LONDON,N7,51.5572453,-0.1183706
Hoxton,Hackney,LONDON,N1,51.5323935,-0.086078
Islington,Islington,LONDON,N1,51.5384287,-0.0999051
Kennington,"Lambeth, Southwark",LONDON,SE11,51.4882861,-0.1058829
Kensington,Kensington and Chelsea,LONDON,SW7,51.4989948,-0.1991229
