London borough,Population,Post town
Barnet,392.14,LONDON
Croydon,385.35,LONDON
Newham,352.01,LONDON
Ealing,341.98,LONDON
Enfield,333.87,LONDON
Bromley,331.1,LONDON
Brent,330.8,LONDON
Wandsworth,326.47,LONDON
Lambeth,325.92,LONDON
Tower Hamlets,317.71,LONDON
Southwark,317.26,LONDON
Hillingdon,304.82,LONDON
Redbridge,303.86,LONDON
Lewisham,303.54,LONDON
Greenwich,286.19,LONDON
Hackney,279.67,LONDON
Waltham Forest,276.7,LONDON
Hounslow,270.78,LONDON
Haringey,270.62,LONDON
Camden,262.23,LONDON
Havering,257.81,LONDON
Westminster,255.32,LONDON
Harrow,250.15,LONDON
Bexley,247.26,LONDON
Islington,239.14,LONDON
Barking and Dagenham,212.0,LONDON
Merton,206.19,LONDON
Sutton,204.53,LONDON
Richmond upon Thames,196.9,LONDON
Hammersmith and Fulham,185.43,LONDON
Kingston upon Thames,175.47,LONDON
Kensington and Chelsea,156.2,LONDON
City,8.71,LONDON
