Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Aldgate,51.5142477,-0.0620807,The Japanese Canteen,51.513775,-0.079079,Japanese Restaurant
Aldgate,51.5142477,-0.0620807,Mattarello,51.51551833497089,-0.07543409709871418,Italian Restaurant
Aldgate,51.5142477,-0.0620807,Bife,51.5157,-0.0754378,Argentinian Restaurant
Aldgate,51.5142477,-0.0620807,Treves & Hyde,51.51411421160949,-0.07060639095470833,Restaurant
Aldgate,51.5142477,-0.0620807,Tifinbox,51.51634524607388,-0.07719514759508633,Indian Restaurant
Aldgate,51.5142477,-0.0620807,Anokha,51.51375482882119,-0.07923020156645716,Indian Restaurant
Aldgate,51.5142477,-0.0620807,HELIX Restaurant,51.514487831810285,-0.08036044975007965,Restaurant
Aldgate,51.5142477,-0.0620807,My Old Place,51.516827249973375,-0.07693207663488379,Szechuan Restaurant
Aldgate,51.5142477,-0.0620807,Sakana Sushi Japanese Kitchen,51.51724025437223,-0.07345280003618347,Sushi Restaurant
Aldgate,51.5142477,-0.0620807,SUSHISAMBA,51.51615630221785,-0.08116868702927604,Sushi Restaurant
Aldgate,51.5142477,-0.0620807,Bubala,51.51773,-0.073943,Middle Eastern Restaurant
Aldgate,51.5142477,-0.0620807,Gunpowder,51.518436325253475,-0.0747323376373174,Indian Restaurant
Aldgate,51.5142477,-0.0620807,Amber,51.51382000799698,-0.06882484772317549,Middle Eastern Restaurant
Aldgate,51.5142477,-0.0620807,Ottolenghi,51.51827179652063,-0.07717729864282495,Mediterranean Restaurant
Aldgate,51.5142477,-0.0620807,Emilia’s,51.514611,-0.06921,Italian Restaurant
Aldgate,51.5142477,-0.0620807,Som Saa,51.517368115600284,-0.07354676556538084,Thai Restaurant
Aldgate,51.5142477,-0.0620807,Yuu Kitchen,51.51634090684156,-0.0729668140411377,Asian Restaurant
Aldgate,51.5142477,-0.0620807,Haz,51.51602223003937,-0.0785640044703027,Middle Eastern Restaurant
Aldgate,51.5142477,-0.0620807,Eat Saigon,51.51820309473723,-0.07457031714856988,Vietnamese Restaurant
Aldgate,51.5142477,-0.0620807,La Dame de Pic,51.51034483240141,-0.07902694407504281,French Restaurant
Aldgate,51.5142477,-0.0620807,The Gherkin,51.514458,-0.08023828,English Restaurant
Aldgate,51.5142477,-0.0620807,Mei Ume,51.510025,-0.07799227,Asian Restaurant
Aldgate,51.5142477,-0.0620807,Pilpel,51.514203072937484,-0.07013728814264002,Falafel Restaurant
Aldgate,51.5142477,-0.0620807,Flavour Garden,51.511092905004745,-0.07958650588989258,Restaurant
Aldgate,51.5142477,-0.0620807,Fora,51.51493321626645,-0.07815171954768403,Mediterranean Restaurant
Aldgate,51.5142477,-0.0620807,Thai Square,51.51245347166384,-0.07562590584204959,Thai Restaurant
Aldgate,51.5142477,-0.0620807,Wahaca,51.51800186473757,-0.07841420018217037,Mexican Restaurant
Aldgate,51.5142477,-0.0620807,Randy’s,51.512033,-0.075466,American Restaurant
Aldgate,51.5142477,-0.0620807,Mama Thai,51.5180562853526,-0.074622107140666,Thai Restaurant
Aldgate,51.5142477,-0.0620807,Olives & Figs,51.5181727588543,-0.07756756118032561,Middle Eastern Restaurant
Aldwych,51.513103,-0.0620807,The Delaunay,51.513181,-0.117988,Restaurant
Aldwych,51.513103,-0.0620807,The Pig and Goose,51.51328712156263,-0.11327268421425365,French Restaurant
Aldwych,51.513103,-0.0620807,Gaucho,51.51406880816953,-0.11113110096782348,Argentinian Restaurant
Aldwych,51.513103,-0.0620807,San Carlo Cicchetti,51.5123863702639,-0.1204562150666614,Italian Restaurant
Aldwych,51.513103,-0.0620807,Spring,51.510966037425156,-0.1185750961303711,Restaurant
Aldwych,51.513103,-0.0620807,Barrafina,51.51441724037805,-0.12176794571673841,Tapas Restaurant
Aldwych,51.513103,-0.0620807,Brasserie Blanc Chancery Lane,51.51441737435661,-0.111211165418311,French Restaurant
Aldwych,51.513103,-0.0620807,The Chancery,51.516497939953084,-0.1111194275337372,Restaurant
Aldwych,51.513103,-0.0620807,Vanilla Black,51.516578355628006,-0.11114026220950464,Vegetarian / Vegan Restaurant
Aldwych,51.513103,-0.0620807,Fields Bar and Kitchen,51.51595770940021,-0.11729185397782418,Restaurant
Aldwych,51.513103,-0.0620807,Tas Fetter Lane,51.51535477604732,-0.10927268303198964,Turkish Restaurant
Aldwych,51.513103,-0.0620807,Aiko,51.515511,-0.111524,Japanese Restaurant
Angel,51.531945799999995,-0.0620807,Oseyo,51.53382280847399,-0.10680999313761128,Korean Restaurant
Angel,51.531945799999995,-0.0620807,Delhi Grill,51.53347641442077,-0.10925027894733465,Indian Restaurant
Angel,51.531945799999995,-0.0620807,Terrace Kitchen,51.533541414001576,-0.10807219901482874,Turkish Restaurant
Angel,51.531945799999995,-0.0620807,Tanakatsu,51.530284639367146,-0.10199939405521996,Japanese Restaurant
Angel,51.531945799999995,-0.0620807,Oldroyd,51.53510772746462,-0.1042616494901057,Restaurant
